,Date,India
0,2020-01-22,0
1,2020-01-23,0
2,2020-01-24,0
3,2020-01-25,0
4,2020-01-26,0
5,2020-01-27,0
6,2020-01-28,0
7,2020-01-29,0
8,2020-01-30,0
9,2020-01-31,0
10,2020-02-01,0
11,2020-02-02,0
12,2020-02-03,0
13,2020-02-04,0
14,2020-02-05,0
15,2020-02-06,0
16,2020-02-07,0
17,2020-02-08,0
18,2020-02-09,0
19,2020-02-10,0
20,2020-02-11,0
21,2020-02-12,0
22,2020-02-13,0
23,2020-02-14,0
24,2020-02-15,0
25,2020-02-16,0
26,2020-02-17,0
27,2020-02-18,0
28,2020-02-19,0
29,2020-02-20,0
30,2020-02-21,0
31,2020-02-22,0
32,2020-02-23,0
33,2020-02-24,0
34,2020-02-25,0
35,2020-02-26,0
36,2020-02-27,0
37,2020-02-28,0
38,2020-02-29,0
39,2020-03-01,0
40,2020-03-02,0
41,2020-03-03,0
42,2020-03-04,0
43,2020-03-05,0
44,2020-03-06,0
45,2020-03-07,0
46,2020-03-08,0
47,2020-03-09,0
48,2020-03-10,0
49,2020-03-11,1
50,2020-03-12,1
51,2020-03-13,2
52,2020-03-14,2
53,2020-03-15,2
54,2020-03-16,2
55,2020-03-17,3
56,2020-03-18,3
57,2020-03-19,4
58,2020-03-20,5
59,2020-03-21,4
60,2020-03-22,7
61,2020-03-23,10
62,2020-03-24,10
63,2020-03-25,12
64,2020-03-26,20
65,2020-03-27,20
66,2020-03-28,24
67,2020-03-29,27
68,2020-03-30,32
69,2020-03-31,35
70,2020-04-01,58
71,2020-04-02,72
72,2020-04-03,72
73,2020-04-04,86
74,2020-04-05,99
75,2020-04-06,136
76,2020-04-07,150
77,2020-04-08,178
78,2020-04-09,226
79,2020-04-10,246
80,2020-04-11,288
81,2020-04-12,331
82,2020-04-13,358
83,2020-04-14,393
84,2020-04-15,405
85,2020-04-16,448
86,2020-04-17,486
87,2020-04-18,521
88,2020-04-19,559
89,2020-04-20,592
90,2020-04-21,645
91,2020-04-22,681
92,2020-04-23,721
93,2020-04-24,780
94,2020-04-25,825
95,2020-04-26,881
96,2020-04-27,939
97,2020-04-28,1008
98,2020-04-29,1079
99,2020-04-30,1154
100,2020-05-01,1223
101,2020-05-02,1323
102,2020-05-03,1391
103,2020-05-04,1566
104,2020-05-05,1693
105,2020-05-06,1785
106,2020-05-07,1889
107,2020-05-08,1985
108,2020-05-09,2101
109,2020-05-10,2212
110,2020-05-11,2294
111,2020-05-12,2415
112,2020-05-13,2551
113,2020-05-14,2649
114,2020-05-15,2753
115,2020-05-16,2871
116,2020-05-17,3025
117,2020-05-18,3156
118,2020-05-19,3302
119,2020-05-20,3434
120,2020-05-21,3584
121,2020-05-22,3726
122,2020-05-23,3868
123,2020-05-24,4024
124,2020-05-25,4172
125,2020-05-26,4344
126,2020-05-27,4534
127,2020-05-28,4711
128,2020-05-29,4980
129,2020-05-30,5185
130,2020-05-31,5408
131,2020-06-01,5608
132,2020-06-02,5829
133,2020-06-03,6088
134,2020-06-04,6363
135,2020-06-05,6649
